PCSI_ID,Amplification 10q11.22,Amplification 11q13.3,Amplification 12p11.21,Amplification 12q13.2,Amplification 17p11.2,Amplification 17q11.1,Amplification 18q11.2,Amplification 19q13.2,Amplification 1p34.2,Amplification 1q21.3,Amplification 20p11.21,Amplification 20q11.21,Amplification 21p11.2,Amplification 22q13.2,Amplification 2p11.2,Amplification 3q26.31,Amplification 6p21.1,Amplification 7q22.1,Amplification 8q24.21,Amplification 9p11.2,Amplification 9q21.11,Deletion 10p15.3,Deletion 10q11.22,Deletion 11p15.5,Deletion 12q12,Deletion 12q24.33,Deletion 16p11.2,Deletion 16q23.1,Deletion 17q22,Deletion 18q21.2,Deletion 18q23,Deletion 19p13.3,Deletion 19q13.32,Deletion 1p31.1,Deletion 1p36.11,Deletion 1q11,Deletion 1q21.3,Deletion 20p13,Deletion 21q22.3,Deletion 22q13.33,Deletion 3p21.2,Deletion 4q22.1,Deletion 4q35.2,Deletion 5q13.2,Deletion 5q35.3,Deletion 6p25.1,Deletion 6q26,Deletion 7q36.1,Deletion 8p23.1,Deletion 9p21.3,Deletion 9q21.11,ploidy,snv_count,sv_count
PCSI_0004,-0.6823007577011122,1.3554088394147739,0.7529714648899841,1.290953611342144,-0.8632969120198045,-0.03691014065806186,1.1510125782726286,1.588119253125639,-0.34426509679083167,0.1928943005591384,1.1206771047898163,0.1228881613460787,NA,-0.3080945610919711,0.0780868809443031,2.0603149449046816,2.8598296275224824,-0.5817754052139578,0.279876817073971,-2.755376435678656,-1.0055211537720252,-0.6182554438033326,-0.387369474481757,-0.4203281809217936,-0.6627291789265504,-0.7204185155291688,0.18667971001501488,-0.39766278903484675,-0.6985096583396622,0.40012849330508016,0.5240721206037882,-0.6084241122251016,-0.4447601764890343,-0.5428672782058913,-0.9612687755124051,-0.5406045455871974,-0.9343495580178538,-0.5240721206037883,0.0780868809443028,1.3751993237545186,-0.7742639234472536,1.6593384878866408,1.4429489651752279,-0.4693288678392788,-0.387369474481757,-0.8984827002011403,0.9909235661718483,-0.45499476409534845,1.1589729651387355,0.3820441084950134,1.0469766696733802,1.58610940425894,-0.282911643893626,-0.190499544053618
PCSI_0015,1.5668916897960217,3.0988366799169142,2.0528379937526933,2.9580118181146764,-0.8632969120198045,-1.1375034257348182,-0.9233397605923284,-0.7218723877843813,3.298281733770226,-0.9170939552899384,2.6982826428630338,0.1228881613460787,NA,-0.3080945610919711,0.0780868809443031,2.0603149449046816,2.8598296275224824,2.105863086478692,1.3858960459927958,0.4608636742950066,1.1222913522745832,1.6861512103727252,-0.387369474481757,-0.4203281809217936,-0.6627291789265504,-0.7204185155291688,0.18667971001501488,-0.39766278903484675,-0.6985096583396622,-2.5163636356741708,-1.9315801016539622,-0.6084241122251016,-0.4447601764890343,-0.5428672782058913,1.0598604447957287,-0.5406045455871974,1.0752678520139891,-0.5240721206037883,0.0780868809443028,-0.7325828173271733,-0.7742639234472536,-0.6084241122251017,1.4429489651752279,-0.4693288678392788,-0.387369474481757,-0.8984827002011403,-1.0153908147193014,2.25842855632782,-0.87387801114738894,0.3820441084950134,-0.9730724341670239,0.237688866433238,0.679137850636154,5.25094408041489
PCSI_0019,-0.6823007577011122,-0.38801900108736664,-0.5468950639727252,-0.3761045954303884,-0.8632969120198045,1.0636831444186945,1.1510125782726286,-0.7218723877843813,-0.34426509679083167,1.3028825564082152,-0.4569284332834014,0.1228881613460787,NA,-0.3080945610919711,0.0780868809443031,-0.5846294853447727,-0.40286295622490625,-0.5817754052139578,-0.826142411844854,0.4608636742950066,-1.0055211537720252,1.6861512103727252,2.63780165956625,-0.4203281809217936,1.5329796159008087,1.4083857465750418,0.18667971001501488,-0.39766278903484675,1.4228900447659782,0.40012849330508016,0.5240721206037882,-0.6084241122251016,-0.4447601764890343,-0.5428672782058913,-0.9612687755124051,-0.5406045455871974,-0.9343495580178538,-0.5240721206037883,0.0780868809443028,-0.7325828173271733,-0.7742639234472536,-0.6084241122251017,-0.7083567647223846,2.1398214482841693,-0.387369474481757,-0.8984827002011403,0.9909235661718483,2.25842855632782,-0.87387801114738894,0.3820441084950134,-0.9730724341670239,-0.817439341736495,-0.477988856811048,-0.806512029842506
PCSI_0072,1.5668916897960217,-0.38801900108736664,-0.5468950639727252,-0.3761045954303884,-0.8632969120198045,0.5133865018803163,1.1510125782726286,0.4331234326706288,1.4770083184896974,0.1928943005591384,2.6982826428630338,0.1228881613460787,NA,1.8887536136507792,0.0780868809443031,0.7378427297799544,-0.40286295622490625,-0.5817754052139578,-0.826142411844854,0.4608636742950066,-0.47356802726037317,-0.6182554438033326,-0.387369474481757,-0.4203281809217936,-0.6627291789265504,-0.7204185155291688,0.18667971001501488,-0.39766278903484675,-0.6985096583396622,0.40012849330508016,0.5240721206037882,-0.6084241122251016,-0.4447601764890343,-0.5428672782058913,1.0598604447957287,-0.5406045455871974,-0.9343495580178538,-0.5240721206037883,0.0780868809443028,-0.7325828173271733,1.3159300427313405,-0.6084241122251017,1.4429489651752279,-0.4693288678392788,-0.387369474481757,1.1200263797027914,-1.0153908147193014,-0.45499476409534845,1.1589729651387355,0.3820441084950134,0.03695211775317816,0.916968385488289,-0.236735562619863,-0.334235790737692
PCSI_0073,-0.6823007577011122,-0.38801900108736664,-0.5468950639727252,-0.3761045954303884,-0.8632969120198045,-0.03691014065806186,-0.9233397605923284,1.588119253125639,-0.34426509679083167,-0.9170939552899384,-0.4569284332834014,0.1228881613460787,NA,-0.3080945610919711,0.0780868809443031,-0.5846294853447727,-0.40286295622490625,-0.5817754052139578,-0.826142411844854,-1.1472563806918248,-1.0055211537720252,-0.6182554438033326,-0.387369474481757,2.3932971934118448,1.5329796159008087,1.4083857465750418,0.18667971001501488,-0.39766278903484675,-0.6985096583396622,0.40012849330508016,0.5240721206037882,1.6593384878866406,2.333931973766266,-0.5428672782058913,-0.9612687755124051,-0.5406045455871974,-0.9343495580178538,-0.5240721206037883,0.0780868809443028,-0.7325828173271733,-0.7742639234472536,-0.6084241122251017,-0.7083567647223846,-0.4693288678392788,-0.387369474481757,1.1200263797027914,0.9909235661718483,-0.45499476409534845,-0.87387801114738894,0.3820441084950134,0.03695211775317816,-0.77471280482365,-0.365751342493453,-0.744910781263617
PCSI_0074,-0.6823007577011122,-0.38801900108736664,-0.5468950639727252,-0.3761045954303884,1.2498477681480755,-1.1375034257348182,-0.9233397605923284,-0.7218723877843813,-0.34426509679083167,-0.9170939552899384,-0.4569284332834014,0.1228881613460787,NA,-0.3080945610919711,0.0780868809443031,-0.5846294853447727,-0.40286295622490625,-0.5817754052139578,-0.826142411844854,0.4608636742950066,1.1222913522745832,-0.6182554438033326,-0.387369474481757,-0.4203281809217936,-0.6627291789265504,-0.7204185155291688,0.18667971001501488,-0.39766278903484675,-0.6985096583396622,-2.5163636356741708,-1.9315801016539622,-0.6084241122251016,-0.4447601764890343,1.8633552522202215,1.0598604447957287,-0.5406045455871974,1.0752678520139891,1.9315801016539624,0.0780868809443028,-0.7325828173271733,-0.7742639234472536,-0.6084241122251017,-0.7083567647223846,-0.4693288678392788,-0.387369474481757,1.1200263797027914,0.9909235661718483,-0.45499476409534845,-0.87387801114738894,0.3820441084950134,-0.9730724341670239,-0.611048443089704,-0.328705314556427,-0.67304265792158
PCSI_0080,-0.6823007577011122,-0.38801900108736664,-0.5468950639727252,-0.3761045954303884,1.2498477681480755,-0.03691014065806186,1.1510125782726286,0.4331234326706288,-0.34426509679083167,0.1928943005591384,-0.4569284332834014,0.1228881613460787,NA,-0.3080945610919711,0.0780868809443031,-0.5846294853447727,-0.40286295622490625,2.105863086478692,-0.826142411844854,-2.755376435678656,-1.0055211537720252,1.6861512103727252,-0.387369474481757,-0.4203281809217936,-0.6627291789265504,-0.7204185155291688,0.18667971001501488,-0.39766278903484675,1.4228900447659782,0.40012849330508016,0.5240721206037882,1.6593384878866406,-0.4447601764890343,1.8633552522202215,1.0598604447957287,-0.5406045455871974,1.0752678520139891,1.9315801016539624,0.0780868809443028,1.3751993237545186,1.3159300427313405,1.6593384878866408,-0.7083567647223846,-0.4693288678392788,-0.387369474481757,-0.8984827002011403,-1.0153908147193014,2.25842855632782,1.1589729651387355,0.3820441084950134,-0.9730724341670239,1.20519146500205,-0.270865709648297,0.312577319340641
PCSI_0081,-0.6823007577011122,-0.38801900108736664,-0.5468950639727252,-0.3761045954303884,-0.8632969120198045,1.0636831444186945,-0.9233397605923284,1.588119253125639,-0.34426509679083167,-0.9170939552899384,-0.4569284332834014,0.1228881613460787,NA,4.08560178839353,0.0780868809443031,2.0603149449046816,-0.40286295622490625,-0.5817754052139578,-0.826142411844854,0.4608636742950066,1.1222913522745832,-0.6182554438033326,2.63780165956625,-0.4203281809217936,1.5329796159008087,1.4083857465750418,0.18667971001501488,-0.39766278903484675,-0.6985096583396622,-2.5163636356741708,-1.9315801016539622,-0.6084241122251016,-0.4447601764890343,1.8633552522202215,1.0598604447957287,1.8884131386950045,-0.9343495580178538,1.9315801016539624,0.0780868809443028,1.3751993237545186,-0.7742639234472536,1.6593384878866408,-0.7083567647223846,2.1398214482841693,-0.387369474481757,1.1200263797027914,0.9909235661718483,-0.45499476409534845,1.1589729651387355,0.3820441084950134,-0.9730724341670239,-0.991966382346588,-0.512931626387778,0.712985435103418
PCSI_0082,1.5668916897960217,-0.38801900108736664,2.0528379937526933,-0.3761045954303884,-0.8632969120198045,-0.03691014065806186,1.1510125782726286,-0.7218723877843813,-0.34426509679083167,-0.9170939552899384,-0.4569284332834014,0.1228881613460787,NA,-0.3080945610919711,0.0780868809443031,2.0603149449046816,1.228483335648788,0.7620438406323673,-0.826142411844854,0.4608636742950066,1.1222913522745832,1.6861512103727252,-0.387369474481757,2.3932971934118448,-0.6627291789265504,-0.7204185155291688,0.18667971001501488,2.5667325474067377,-0.6985096583396622,0.40012849330508016,-1.9315801016539622,-0.6084241122251016,-0.4447601764890343,-0.5428672782058913,-0.9612687755124051,1.8884131386950045,1.0752678520139891,-0.5240721206037883,0.0780868809443028,1.3751993237545186,1.3159300427313405,1.6593384878866408,-0.7083567647223846,-0.4693288678392788,-0.387369474481757,1.1200263797027914,-1.0153908147193014,-0.45499476409534845,1.1589729651387355,0.3820441084950134,-0.9730724341670239,0.856137383781866,-0.298686081595844,0.415246066972122
PCSI_0083,-0.6823007577011122,-0.38801900108736664,-0.5468950639727252,-0.3761045954303884,1.2498477681480755,1.0636831444186945,-0.9233397605923284,-0.7218723877843813,-0.34426509679083167,-0.9170939552899384,-0.4569284332834014,0.1228881613460787,NA,-0.3080945610919711,0.0780868809443031,-0.5846294853447727,-0.40286295622490625,-0.5817754052139578,-0.826142411844854,0.4608636742950066,1.1222913522745832,-0.6182554438033326,-0.387369474481757,-0.4203281809217936,-0.6627291789265504,-0.7204185155291688,0.18667971001501488,-0.39766278903484675,-0.6985096583396622,-2.5163636356741708,-1.9315801016539622,-0.6084241122251016,-0.4447601764890343,-0.5428672782058913,-0.9612687755124051,-0.5406045455871974,1.0752678520139891,-0.5240721206037883,0.0780868809443028,-0.7325828173271733,-0.7742639234472536,-0.6084241122251017,-0.7083567647223846,-0.4693288678392788,-0.387369474481757,-0.8984827002011403,-1.0153908147193014,-0.45499476409534845,-0.87387801114738894,0.3820441084950134,1.0469766696733802,-0.626980372108053,8.56807754949419,-0.18023266929047
