,Fold selected features,Fold nb of features
Fold 25,"['KDM6A', 'pMLC2_YAPpos_muralneglike_myCAFs', 'CTGFpos_Fibronectinpos_CAFs', 'Deletion 22q13.33', 'Deletion 1p36.11', 'CLEC9A_im', 'Fibronectin_caf']",7
Fold 26,"['tls_presence', 'KDM6A', 'SMAD4', 'RNF43', 'KMT2C', 'KRAS', 'pMLC2_YAPpos_muralneglike_myCAFs', 'TAMs', 'Nonnegpolarized', 'TFhigh_Classical', 'ECM-rich', 'Deletion 22q13.33', 'ploidy', 'Deletion 1p36.11', 'CEACAM6_ep', 'PDGFRab_caf', 'CLEC9A_im', 'Fibronectin_caf', 'ANXA2_ep', 'PRSS1_ep', 'KRT5_ep']",21
Fold 27,"['TFhigh_Classical', 'CTGFpos_Fibronectinpos_CAFs', 'CEACAM6_ep']",3
Fold 28,"['SMAD4', 'FAT3', 'pMLC2_YAPpos_muralneglike_myCAFs', 'S100A4pos_NonnegBasal', 'CTGFpos_Fibronectinpos_CAFs', 'Deletion 22q13.33', 'ploidy', 'CEACAM6_ep', 'PDGFRab_caf']",9
Fold 29,"['Unnamed: 0', 'Sex', 'tls_presence', 'Age.at.Dx', 'Whipple_Surgery', 'Distal_Surgery', 'ARID1A', 'AHNAK', 'KDM6A', 'snv_count', 'TP53', 'PLXNB2', 'SMAD4', 'FAT3', 'PXDN', 'PDZRN3', 'RNF43', 'KMT2C', 'ZFHX4', 'GNAS', 'TGFBR2', 'CDKN2A', 'LRP1B', 'KRAS', 'HMCN1', 'ATP10A', 'KMT2D', 'CSMD1', 'TENM4', 'ATM', 'DMD', 'pMLC2_YAPpos_muralneglike_myCAFs', 'TAMs', 'Nonnegpolarized', 'S100A4pos_NonnegBasal', 'Tenascin_high_myCAFs', 'TFlow_Classical', 'TFhigh_Classical', 'PDPN_high_endothelial_cells', 'CTGFpos_Fibronectinpos_CAFs', 'YAP_pMLC2_ECM_high_iCAFs', 'Vascular_smooth_muscle_cells', 'YAP_Col1A2_high_CD105pos_iCAFs', 'CD34pos_CAFs', 'CCL21_high_lymphatic_endothelial_cells', 'CD36_high_pericytes', 'Basal', 'Arg1pos_TAMs', 'ECM-rich', 'Immune infiltrated stroma', 'Neoadj CD105 CAF high', 'CD105 CAF high', 'Deletion 22q13.33', 'ploidy', 'Deletion 1p36.11', 'Amplification 17p11.2', 'CEACAM6_ep', 'PDGFRab_caf', 'KRT20_ep', 'CLEC9A_im', 'Fibronectin_caf', 'TP63_ep', 'INS_ep', 'ANXA2_ep', 'PRSS1_ep', 'KRT5_ep', 'iNOS_im', 'PDPN', 'CD79A_im', 'S100A2_ep', 'REG4_ep']",71
Fold 30,"['TFhigh_Classical', 'YAP_pMLC2_ECM_high_iCAFs', 'Deletion 22q13.33', 'CEACAM6_ep', 'PDGFRab_caf', 'iNOS_im']",6
Fold 31,"['Unnamed: 0', 'Sex', 'tls_presence', 'Age.at.Dx', 'Whipple_Surgery', 'Distal_Surgery', 'ARID1A', 'AHNAK', 'KDM6A', 'snv_count', 'TP53', 'PLXNB2', 'SMAD4', 'FAT3', 'PXDN', 'PDZRN3', 'RNF43', 'KMT2C', 'ZFHX4', 'GNAS', 'TGFBR2', 'CDKN2A', 'LRP1B', 'KRAS', 'HMCN1', 'ATP10A', 'KMT2D', 'CSMD1', 'TENM4', 'ATM', 'DMD', 'pMLC2_YAPpos_muralneglike_myCAFs', 'TAMs', 'Nonnegpolarized', 'S100A4pos_NonnegBasal', 'Tenascin_high_myCAFs', 'TFlow_Classical', 'TFhigh_Classical', 'PDPN_high_endothelial_cells', 'CTGFpos_Fibronectinpos_CAFs', 'YAP_pMLC2_ECM_high_iCAFs', 'Vascular_smooth_muscle_cells', 'YAP_Col1A2_high_CD105pos_iCAFs', 'CD34pos_CAFs', 'CCL21_high_lymphatic_endothelial_cells', 'CD36_high_pericytes', 'Basal', 'Arg1pos_TAMs', 'ECM-rich', 'Stiff matrix', 'Immune infiltrated stroma', 'Neoadj CD105 CAF high', 'CD105 CAF high', 'Deletion 22q13.33', 'ploidy', 'Deletion 1p36.11', 'Amplification 17p11.2', 'CEACAM6_ep', 'PDGFRab_caf', 'ESM1_caf', 'KRT20_ep', 'CLEC9A_im', 'Fibronectin_caf', 'TP63_ep', 'INS_ep', 'ANXA2_ep', 'PRSS1_ep', 'KRT5_ep', 'iNOS_im', 'PDPN', 'CD79A_im', 'S100A2_ep', 'REG4_ep']",73
Fold 32,"['Sex', 'HMCN1', 'S100A4pos_NonnegBasal', 'Deletion 22q13.33', 'CEACAM6_ep', 'PDGFRab_caf']",6
Fold 33,"['Unnamed: 0', 'tls_presence', 'Distal_Surgery', 'ARID1A', 'SMAD4', 'RNF43', 'ZFHX4', 'TGFBR2', 'CDKN2A', 'KRAS', 'KMT2D', 'pMLC2_YAPpos_muralneglike_myCAFs', 'TAMs', 'S100A4pos_NonnegBasal', 'Tenascin_high_myCAFs', 'CTGFpos_Fibronectinpos_CAFs', 'YAP_pMLC2_ECM_high_iCAFs', 'Arg1pos_TAMs', 'ECM-rich', 'Stiff matrix', 'Neoadj CD105 CAF high', 'Deletion 22q13.33', 'ploidy', 'Deletion 1p36.11', 'CEACAM6_ep', 'PDGFRab_caf', 'KRT20_ep', 'Fibronectin_caf', 'iNOS_im', 'S100A2_ep']",30
Fold 34,"['pMLC2_YAPpos_muralneglike_myCAFs', 'CTGFpos_Fibronectinpos_CAFs', 'ploidy', 'CEACAM6_ep']",4
Fold 35,"['TFhigh_Classical', 'CTGFpos_Fibronectinpos_CAFs']",2
Fold 36,"['Age.at.Dx', 'ARID1A', 'KDM6A', 'TP53', 'SMAD4', 'FAT3', 'pMLC2_YAPpos_muralneglike_myCAFs', 'TAMs', 'Nonnegpolarized', 'S100A4pos_NonnegBasal', 'Tenascin_high_myCAFs', 'TFhigh_Classical', 'CTGFpos_Fibronectinpos_CAFs', 'YAP_pMLC2_ECM_high_iCAFs', 'Deletion 22q13.33', 'ploidy', 'Deletion 1p36.11', 'Amplification 17p11.2', 'CEACAM6_ep', 'PDGFRab_caf', 'KRT20_ep', 'CLEC9A_im', 'Fibronectin_caf', 'KRT5_ep', 'iNOS_im']",25
Fold 37,"['TAMs', 'CTGFpos_Fibronectinpos_CAFs', 'YAP_pMLC2_ECM_high_iCAFs', 'Deletion 22q13.33', 'CEACAM6_ep', 'PDGFRab_caf']",6
Fold 38,"['Sex', 'tls_presence', 'ARID1A', 'AHNAK', 'KDM6A', 'PLXNB2', 'SMAD4', 'FAT3', 'PXDN', 'RNF43', 'ZFHX4', 'TGFBR2', 'CDKN2A', 'LRP1B', 'CSMD1', 'pMLC2_YAPpos_muralneglike_myCAFs', 'TAMs', 'Nonnegpolarized', 'S100A4pos_NonnegBasal', 'Tenascin_high_myCAFs', 'TFhigh_Classical', 'PDPN_high_endothelial_cells', 'CTGFpos_Fibronectinpos_CAFs', 'YAP_pMLC2_ECM_high_iCAFs', 'CCL21_high_lymphatic_endothelial_cells', 'Arg1pos_TAMs', 'ECM-rich', 'Neoadj CD105 CAF high', 'Deletion 22q13.33', 'ploidy', 'Deletion 1p36.11', 'Amplification 17p11.2', 'CEACAM6_ep', 'PDGFRab_caf', 'ESM1_caf', 'CLEC9A_im', 'Fibronectin_caf', 'INS_ep', 'ANXA2_ep', 'KRT5_ep', 'iNOS_im', 'PDPN', 'S100A2_ep']",43
Fold 39,"['Sex', 'ARID1A', 'KDM6A', 'TFhigh_Classical', 'Deletion 22q13.33', 'CEACAM6_ep', 'PDGFRab_caf', 'ANXA2_ep', 'iNOS_im']",9
Fold 40,"['pMLC2_YAPpos_muralneglike_myCAFs', 'TFhigh_Classical', 'Deletion 22q13.33']",3
