,Fold selected features,Fold nb of features
Fold 73,"['tls_presence', 'Age.at.Dx', 'ARID1A', 'AHNAK', 'KDM6A', 'SMAD4', 'RNF43', 'ZFHX4', 'KMT2D', 'pMLC2_YAPpos_muralneglike_myCAFs', 'TAMs', 'S100A4pos_NonnegBasal', 'Tenascin_high_myCAFs', 'TFhigh_Classical', 'CTGFpos_Fibronectinpos_CAFs', 'YAP_pMLC2_ECM_high_iCAFs', 'Vascular_smooth_muscle_cells', 'CD36_high_pericytes', 'Arg1pos_TAMs', 'ECM-rich', 'Immune infiltrated stroma', 'Neoadj CD105 CAF high', 'Deletion 22q13.33', 'ploidy', 'Deletion 1p36.11', 'CEACAM6_ep', 'PDGFRab_caf', 'CLEC9A_im', 'Fibronectin_caf', 'ANXA2_ep', 'iNOS_im']",31
Fold 74,"['SMAD4', 'S100A4pos_NonnegBasal', 'CTGFpos_Fibronectinpos_CAFs', 'Deletion 22q13.33']",4
Fold 75,"['Sex', 'ARID1A', 'pMLC2_YAPpos_muralneglike_myCAFs', 'TAMs', 'CEACAM6_ep', 'PDGFRab_caf', 'CLEC9A_im', 'iNOS_im']",8
Fold 76,"['tls_presence', 'ARID1A', 'RNF43', 'KMT2D', 'pMLC2_YAPpos_muralneglike_myCAFs', 'Nonnegpolarized', 'S100A4pos_NonnegBasal', 'TFhigh_Classical', 'YAP_pMLC2_ECM_high_iCAFs', 'Deletion 22q13.33', 'CEACAM6_ep', 'PDGFRab_caf', 'CLEC9A_im', 'iNOS_im']",14
Fold 77,"['Sex', 'ARID1A', 'KDM6A', 'SMAD4', 'KMT2D', 'pMLC2_YAPpos_muralneglike_myCAFs', 'TAMs', 'Nonnegpolarized', 'S100A4pos_NonnegBasal', 'TFlow_Classical', 'TFhigh_Classical', 'YAP_pMLC2_ECM_high_iCAFs', 'CCL21_high_lymphatic_endothelial_cells', 'Deletion 22q13.33', 'ploidy', 'Deletion 1p36.11', 'CEACAM6_ep', 'PDGFRab_caf', 'CLEC9A_im', 'KRT5_ep', 'iNOS_im']",21
Fold 78,"['TAMs', 'TFhigh_Classical', 'CEACAM6_ep']",3
Fold 79,"['TAMs', 'Nonnegpolarized', 'S100A4pos_NonnegBasal', 'TFhigh_Classical', 'Deletion 1p36.11', 'CEACAM6_ep', 'PDGFRab_caf']",7
Fold 80,"['Deletion 22q13.33', 'CEACAM6_ep']",2
Fold 81,"['Sex', 'Distal_Surgery', 'ARID1A', 'AHNAK', 'KDM6A', 'PLXNB2', 'SMAD4', 'FAT3', 'RNF43', 'ZFHX4', 'KRAS', 'TENM4', 'pMLC2_YAPpos_muralneglike_myCAFs', 'TAMs', 'Nonnegpolarized', 'S100A4pos_NonnegBasal', 'Tenascin_high_myCAFs', 'TFhigh_Classical', 'CTGFpos_Fibronectinpos_CAFs', 'YAP_pMLC2_ECM_high_iCAFs', 'Vascular_smooth_muscle_cells', 'ECM-rich', 'Neoadj CD105 CAF high', 'Deletion 22q13.33', 'ploidy', 'Deletion 1p36.11', 'CEACAM6_ep', 'PDGFRab_caf', 'KRT20_ep', 'Fibronectin_caf', 'INS_ep', 'KRT5_ep', 'iNOS_im', 'REG4_ep']",34
Fold 82,"['ARID1A', 'PLXNB2', 'SMAD4', 'pMLC2_YAPpos_muralneglike_myCAFs', 'TAMs', 'CTGFpos_Fibronectinpos_CAFs', 'Deletion 22q13.33', 'ploidy', 'CEACAM6_ep', 'PDGFRab_caf', 'iNOS_im']",11
Fold 83,"['Unnamed: 0', 'Sex', 'tls_presence', 'Age.at.Dx', 'Distal_Surgery', 'ARID1A', 'AHNAK', 'KDM6A', 'TP53', 'PLXNB2', 'SMAD4', 'FAT3', 'PXDN', 'PDZRN3', 'RNF43', 'KMT2C', 'ZFHX4', 'GNAS', 'TGFBR2', 'CDKN2A', 'LRP1B', 'KRAS', 'HMCN1', 'KMT2D', 'CSMD1', 'TENM4', 'ATM', 'pMLC2_YAPpos_muralneglike_myCAFs', 'TAMs', 'Nonnegpolarized', 'S100A4pos_NonnegBasal', 'Tenascin_high_myCAFs', 'TFhigh_Classical', 'CTGFpos_Fibronectinpos_CAFs', 'YAP_pMLC2_ECM_high_iCAFs', 'Vascular_smooth_muscle_cells', 'YAP_Col1A2_high_CD105pos_iCAFs', 'CD34pos_CAFs', 'CCL21_high_lymphatic_endothelial_cells', 'Arg1pos_TAMs', 'ECM-rich', 'Stiff matrix', 'Immune infiltrated stroma', 'Neoadj CD105 CAF high', 'Deletion 22q13.33', 'ploidy', 'Deletion 1p36.11', 'Amplification 17p11.2', 'CEACAM6_ep', 'PDGFRab_caf', 'KRT20_ep', 'CLEC9A_im', 'Fibronectin_caf', 'INS_ep', 'ANXA2_ep', 'PRSS1_ep', 'KRT5_ep', 'iNOS_im', 'CD79A_im', 'S100A2_ep', 'REG4_ep']",61
Fold 84,"['Deletion 22q13.33', 'CEACAM6_ep']",2
Fold 85,"['tls_presence', 'KDM6A', 'FAT3', 'KMT2D', 'pMLC2_YAPpos_muralneglike_myCAFs', 'TAMs', 'Nonnegpolarized', 'Tenascin_high_myCAFs', 'TFhigh_Classical', 'CTGFpos_Fibronectinpos_CAFs', 'Arg1pos_TAMs', 'Deletion 22q13.33', 'Deletion 1p36.11', 'CEACAM6_ep', 'PDGFRab_caf', 'CLEC9A_im', 'Fibronectin_caf', 'ANXA2_ep', 'PDPN', 'S100A2_ep']",20
Fold 86,"['ARID1A', 'KDM6A', 'SMAD4', 'pMLC2_YAPpos_muralneglike_myCAFs', 'TAMs', 'Nonnegpolarized', 'Tenascin_high_myCAFs', 'CTGFpos_Fibronectinpos_CAFs', 'Deletion 22q13.33', 'CEACAM6_ep', 'ANXA2_ep', 'KRT5_ep']",12
Fold 87,"['pMLC2_YAPpos_muralneglike_myCAFs', 'ECM-rich', 'Deletion 22q13.33', 'ploidy', 'Deletion 1p36.11', 'CEACAM6_ep', 'PDGFRab_caf', 'Fibronectin_caf']",8
Fold 88,"['Sex', 'tls_presence', 'ARID1A', 'KDM6A', 'SMAD4', 'FAT3', 'RNF43', 'KMT2D', 'pMLC2_YAPpos_muralneglike_myCAFs', 'TAMs', 'TFhigh_Classical', 'CTGFpos_Fibronectinpos_CAFs', 'Arg1pos_TAMs', 'ECM-rich', 'Neoadj CD105 CAF high', 'Deletion 22q13.33', 'CEACAM6_ep', 'PDGFRab_caf', 'CLEC9A_im', 'Fibronectin_caf', 'KRT5_ep', 'iNOS_im']",22
Fold 89,"['CEACAM6_ep', 'iNOS_im']",2
Fold 90,"['Sex', 'ARID1A', 'KDM6A', 'SMAD4', 'KRAS', 'pMLC2_YAPpos_muralneglike_myCAFs', 'TAMs', 'S100A4pos_NonnegBasal', 'Tenascin_high_myCAFs', 'TFhigh_Classical', 'CTGFpos_Fibronectinpos_CAFs', 'ECM-rich', 'Deletion 22q13.33', 'Deletion 1p36.11', 'CEACAM6_ep', 'ESM1_caf', 'ANXA2_ep', 'KRT5_ep', 'iNOS_im', 'CD79A_im', 'S100A2_ep']",21
Fold 91,"['Unnamed: 0', 'Sex', 'tls_presence', 'Age.at.Dx', 'Whipple_Surgery', 'Distal_Surgery', 'ARID1A', 'AHNAK', 'KDM6A', 'snv_count', 'TP53', 'PLXNB2', 'SMAD4', 'FAT3', 'PXDN', 'PDZRN3', 'RNF43', 'KMT2C', 'ZFHX4', 'GNAS', 'TGFBR2', 'CDKN2A', 'LRP1B', 'KRAS', 'HMCN1', 'ATP10A', 'KMT2D', 'CSMD1', 'TENM4', 'ATM', 'DMD', 'pMLC2_YAPpos_muralneglike_myCAFs', 'TAMs', 'Nonnegpolarized', 'S100A4pos_NonnegBasal', 'Tenascin_high_myCAFs', 'TFlow_Classical', 'TFhigh_Classical', 'PDPN_high_endothelial_cells', 'CTGFpos_Fibronectinpos_CAFs', 'YAP_pMLC2_ECM_high_iCAFs', 'Vascular_smooth_muscle_cells', 'YAP_Col1A2_high_CD105pos_iCAFs', 'CD34pos_CAFs', 'CCL21_high_lymphatic_endothelial_cells', 'CD36_high_pericytes', 'Basal', 'Arg1pos_TAMs', 'ECM-rich', 'Stiff matrix', 'Immune infiltrated stroma', 'Neoadj CD105 CAF high', 'CD105 CAF high', 'Deletion 22q13.33', 'ploidy', 'Deletion 1p36.11', 'Amplification 17p11.2', 'CEACAM6_ep', 'PDGFRab_caf', 'ESM1_caf', 'KRT20_ep', 'CLEC9A_im', 'Fibronectin_caf', 'TP63_ep', 'INS_ep', 'ANXA2_ep', 'PRSS1_ep', 'KRT5_ep', 'iNOS_im', 'PDPN', 'CD79A_im', 'S100A2_ep', 'REG4_ep']",73
Fold 92,"['Deletion 22q13.33', 'CEACAM6_ep']",2
Fold 93,"['Unnamed: 0', 'Sex', 'tls_presence', 'Age.at.Dx', 'Distal_Surgery', 'ARID1A', 'AHNAK', 'KDM6A', 'snv_count', 'TP53', 'PLXNB2', 'SMAD4', 'FAT3', 'PXDN', 'RNF43', 'ZFHX4', 'GNAS', 'TGFBR2', 'CDKN2A', 'LRP1B', 'KRAS', 'HMCN1', 'KMT2D', 'CSMD1', 'ATM', 'pMLC2_YAPpos_muralneglike_myCAFs', 'TAMs', 'Nonnegpolarized', 'S100A4pos_NonnegBasal', 'Tenascin_high_myCAFs', 'TFhigh_Classical', 'CTGFpos_Fibronectinpos_CAFs', 'YAP_pMLC2_ECM_high_iCAFs', 'Vascular_smooth_muscle_cells', 'YAP_Col1A2_high_CD105pos_iCAFs', 'CCL21_high_lymphatic_endothelial_cells', 'CD36_high_pericytes', 'Arg1pos_TAMs', 'ECM-rich', 'Immune infiltrated stroma', 'Neoadj CD105 CAF high', 'Deletion 22q13.33', 'ploidy', 'Deletion 1p36.11', 'Amplification 17p11.2', 'CEACAM6_ep', 'PDGFRab_caf', 'ESM1_caf', 'KRT20_ep', 'CLEC9A_im', 'Fibronectin_caf', 'INS_ep', 'ANXA2_ep', 'PRSS1_ep', 'KRT5_ep', 'iNOS_im', 'PDPN', 'REG4_ep']",58
Fold 94,"['KDM6A', 'TAMs', 'S100A4pos_NonnegBasal', 'Deletion 22q13.33', 'Deletion 1p36.11', 'CEACAM6_ep', 'PDGFRab_caf']",7
Fold 95,"['Deletion 22q13.33', 'ploidy', 'Fibronectin_caf']",3
Fold 96,"['ARID1A', 'KDM6A', 'FAT3', 'pMLC2_YAPpos_muralneglike_myCAFs', 'Nonnegpolarized', 'Tenascin_high_myCAFs', 'TFhigh_Classical', 'Deletion 22q13.33']",8
Fold 97,"['Sex', 'Age.at.Dx', 'Distal_Surgery', 'ARID1A', 'AHNAK', 'KDM6A', 'FAT3', 'PDZRN3', 'ZFHX4', 'TGFBR2', 'pMLC2_YAPpos_muralneglike_myCAFs', 'TAMs', 'Nonnegpolarized', 'S100A4pos_NonnegBasal', 'Tenascin_high_myCAFs', 'TFlow_Classical', 'TFhigh_Classical', 'PDPN_high_endothelial_cells', 'CTGFpos_Fibronectinpos_CAFs', 'YAP_pMLC2_ECM_high_iCAFs', 'CCL21_high_lymphatic_endothelial_cells', 'Immune infiltrated stroma', 'Deletion 22q13.33', 'ploidy', 'Deletion 1p36.11', 'CEACAM6_ep', 'PDGFRab_caf', 'KRT20_ep', 'CLEC9A_im', 'Fibronectin_caf', 'ANXA2_ep', 'iNOS_im', 'CD79A_im']",33
Fold 98,"['Sex', 'ARID1A', 'AHNAK', 'KDM6A', 'LRP1B', 'KMT2D', 'pMLC2_YAPpos_muralneglike_myCAFs', 'TAMs', 'Nonnegpolarized', 'Arg1pos_TAMs', 'Deletion 22q13.33', 'ploidy', 'CEACAM6_ep', 'PDGFRab_caf', 'Fibronectin_caf', 'iNOS_im', 'S100A2_ep']",17
Fold 99,"['Deletion 22q13.33', 'CEACAM6_ep', 'PDGFRab_caf']",3
