"TiffName","Sample","SampleName"
"PDAC2_s0_a48_ac_full.tiff","PDAC2_Sector2Row4Column1_Punch1_Case159_ID_GSDM_862","PDAC2_48"
"PDAC2_s0_a49_ac_full.tiff","PDAC2_Sector4Row1Column2_Punch2_Case33_ID_1_67113","PDAC2_49"
"PDAC2_s0_a50_ac_full.tiff","PDAC2_Sector2Row4Column7_Punch1_Case165_ID_GSDM_992","PDAC2_50"
"PDAC2_s0_a51_ac_full.tiff","PDAC2_Sector2Row2Column2_Punch1_Case144_ID_GSDM_2518","PDAC2_51"
"PDAC2_s0_a52_ac_full.tiff","PDAC2_Sector3Row2Column3_Punch2_Case10_ID_1_35154","PDAC2_52"
"PDAC2_s0_a53_ac_full.tiff","PDAC2_Sector4Row2Column2_Punch2_Case41_ID_1_70327","PDAC2_53"
"PDAC2_s0_a54_ac_full.tiff","PDAC2_Sector4Row2Column7_Punch2_Case46_ID_1_71998","PDAC2_54"
"PDAC2_s0_a55_ac_full.tiff","PDAC2_Sector4Row1Column8_Punch2_Case39_ID_1_69943","PDAC2_55"
"PDAC2_s0_a56_ac_full.tiff","PDAC2_Sector1Row3Column1_Punch1_Case119_ID_GSDM_1489","PDAC2_56"
"PDAC2_s0_a57_ac_full.tiff","PDAC2_Sector3Row3Column2_Punch2_Case17_ID_1_43125","PDAC2_57"
"PDAC2_s0_a58_ac_full.tiff","PDAC2_Sector4Row1Column4_Punch2_Case35_ID_1_67731","PDAC2_58"
"PDAC2_s0_a59_ac_full.tiff","PDAC2_Sector1Row3Column3_Punch1_Case121_ID_GSDM_1604","PDAC2_59"
"PDAC2_s0_a60_ac_full.tiff","PDAC2_Sector4Row2Column3_Punch2_Case42_ID_1_70477","PDAC2_60"
"PDAC2_s0_a61_ac_full.tiff","PDAC2_Sector3Row1Column6_Punch2_Case5_ID_1_104192","PDAC2_61"
"PDAC2_s0_a62_ac_full.tiff","PDAC2_Sector3Row3Column4_Punch2_Case19_ID_1_45196","PDAC2_62"
"PDAC2_s0_a63_ac_full.tiff","PDAC2_Sector3Row1Column8_Punch2_Case7_ID_1_109753","PDAC2_63"
"PDAC2_s0_a64_ac_full.tiff","PDAC2_Sector1Row2Column1_Punch1_Case111_ID_GSDM_1098","PDAC2_64"
"PDAC2_s0_a65_ac_full.tiff","PDAC2_Sector1Row2Column3_Punch1_Case113_ID_GSDM_1265","PDAC2_65"
"PDAC2_s0_a66_ac_full.tiff","PDAC2_Sector3Row4Column7_Punch2_Case30_ID_1_56588","PDAC2_66"
"PDAC2_s0_a67_ac_full.tiff","PDAC2_Sector2Row3Column6_Punch1_Case156_ID_GSDM_583","PDAC2_67"
"PDAC2_s0_a68_ac_full.tiff","PDAC2_Sector3Row3Column8_Punch2_Case23_ID_1_4752","PDAC2_68"
"PDAC2_s0_a69_ac_full.tiff","PDAC2_Sector2Row1Column3_Punch1_Case137_ID_GSDM_2221","PDAC2_69"
"PDAC2_s0_a70_ac_full.tiff","PDAC2_Sector2Row1Column1_Punch1_Case135_ID_GSDM_2152","PDAC2_70"
"PDAC2_s0_a71_ac_full.tiff","PDAC2_Sector2Row4Column2_Punch1_Case160_ID_GSDM_920","PDAC2_71"
"PDAC2_s0_a72_ac_full.tiff","PDAC2_Sector2Row4Column5_Punch1_Case163_ID_GSDM_962","PDAC2_72"
"PDAC2_s0_a73_ac_full.tiff","PDAC2_Sector4Row3Column5_Punch2_Case52_ID_1_85532","PDAC2_73"
"PDAC2_s0_a74_ac_full.tiff","PDAC2_Sector3Row2Column2_Punch2_Case9_ID_1_3430","PDAC2_74"
"PDAC2_s0_a75_ac_full.tiff","PDAC2_Sector3Row2Column5_Punch2_Case12_ID_1_3924","PDAC2_75"
